CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
285,2512,2070082,MAS-IPSP,2
285,2512,2070082,UNIDAD,1
285,2512,2070082,PDC,4
4547,32240,2070142,AP,8
4547,32240,2070142,LYP-ADN,4
4547,32240,2070142,APB-SUMATE,5
4547,32240,2070142,LIBRE,7
4547,32240,2070142,FP,2
4547,32240,2070142,MAS-IPSP,72
4547,32240,2070142,UNIDAD,9
4547,32240,2070142,PDC,72
4547,32240,2070152,AP,0
4547,32240,2070152,LYP-ADN,0
4547,32240,2070152,APB-SUMATE,0
4547,32240,2070152,LIBRE,0
4547,32240,2070152,FP,0
4547,32240,2070152,MAS-IPSP,0
4547,32240,2070152,UNIDAD,0
4547,32240,2070152,PDC,13
4533,32227,2070692,AP,4
4533,32227,2070692,LYP-ADN,1
4533,32227,2070692,APB-SUMATE,11
4533,32227,2070692,LIBRE,2
4533,32227,2070692,FP,0
4533,32227,2070692,MAS-IPSP,2
4533,32227,2070692,UNIDAD,1
4533,32227,2070692,PDC,15
4534,32228,2070702,AP,0
4534,32228,2070702,LYP-ADN,0
4534,32228,2070702,APB-SUMATE,3
4534,32228,2070702,LIBRE,1
4534,32228,2070702,FP,0
4534,32228,2070702,MAS-IPSP,0
4534,32228,2070702,UNIDAD,0
4534,32228,2070702,PDC,0
4536,32229,2070712,AP,3
4536,32229,2070712,LYP-ADN,4
4536,32229,2070712,APB-SUMATE,1
4536,32229,2070712,LIBRE,2
4536,32229,2070712,FP,0
4536,32229,2070712,MAS-IPSP,1
4536,32229,2070712,UNIDAD,1
4536,32229,2070712,PDC,8
4562,32266,2077402,AP,4
4562,32266,2077402,LYP-ADN,1
4562,32266,2077402,APB-SUMATE,1
4562,32266,2077402,LIBRE,26
4562,32266,2077402,FP,4
4562,32266,2077402,MAS-IPSP,3
4562,32266,2077402,UNIDAD,0
4562,32266,2077402,PDC,27
466,32265,2078732,AP,1
466,32265,2078732,LYP-ADN,0
466,32265,2078732,APB-SUMATE,0
466,32265,2078732,LIBRE,2
466,32265,2078732,FP,0
466,32265,2078732,MAS-IPSP,2
466,32265,2078732,UNIDAD,1
466,32265,2078732,PDC,8
469,2652,2078772,AP,4
469,2652,2078772,LYP-ADN,2
469,2652,2078772,APB-SUMATE,4
469,2652,2078772,LIBRE,43
469,2652,2078772,FP,0
469,2652,2078772,MAS-IPSP,9
469,2652,2078772,UNIDAD,22
469,2652,2078772,PDC,48
469,2652,2078782,AP,6
469,2652,2078782,LYP-ADN,0
469,2652,2078782,APB-SUMATE,2
469,2652,2078782,LIBRE,32
469,2652,2078782,FP,1
469,2652,2078782,MAS-IPSP,10
469,2652,2078782,UNIDAD,15
469,2652,2078782,PDC,38
469,2652,2078792,AP,4
469,2652,2078792,LYP-ADN,3
469,2652,2078792,APB-SUMATE,3
469,2652,2078792,LIBRE,30
469,2652,2078792,FP,0
469,2652,2078792,MAS-IPSP,9
469,2652,2078792,UNIDAD,12
469,2652,2078792,PDC,37
469,2652,2078802,AP,3
469,2652,2078802,LYP-ADN,4
469,2652,2078802,APB-SUMATE,0
469,2652,2078802,LIBRE,16
469,2652,2078802,FP,0
469,2652,2078802,MAS-IPSP,11
469,2652,2078802,UNIDAD,10
469,2652,2078802,PDC,47
474,2656,2078902,AP,6
474,2656,2078902,LYP-ADN,3
474,2656,2078902,APB-SUMATE,2
474,2656,2078902,LIBRE,27
474,2656,2078902,FP,0
474,2656,2078902,MAS-IPSP,2
474,2656,2078902,UNIDAD,25
474,2656,2078902,PDC,41
474,2656,2078912,AP,1
474,2656,2078912,LYP-ADN,1
474,2656,2078912,APB-SUMATE,0
474,2656,2078912,LIBRE,19
474,2656,2078912,FP,1
474,2656,2078912,MAS-IPSP,2
474,2656,2078912,UNIDAD,8
474,2656,2078912,PDC,21
484,2664,2079572,AP,13
484,2664,2079572,LYP-ADN,3
484,2664,2079572,APB-SUMATE,16
484,2664,2079572,LIBRE,3
484,2664,2079572,FP,1
484,2664,2079572,MAS-IPSP,5
484,2664,2079572,UNIDAD,1
484,2664,2079572,PDC,55
484,2664,2079582,AP,1
484,2664,2079582,LYP-ADN,3
484,2664,2079582,APB-SUMATE,9
484,2664,2079582,LIBRE,7
484,2664,2079582,FP,2
484,2664,2079582,MAS-IPSP,5
484,2664,2079582,UNIDAD,1
484,2664,2079582,PDC,54
487,2666,2079662,AP,0
487,2666,2079662,LYP-ADN,0
487,2666,2079662,APB-SUMATE,4
487,2666,2079662,LIBRE,2
487,2666,2079662,FP,2
487,2666,2079662,MAS-IPSP,9
487,2666,2079662,UNIDAD,0
487,2666,2079662,PDC,82
487,2666,2079672,AP,7
487,2666,2079672,LYP-ADN,0
487,2666,2079672,APB-SUMATE,7
487,2666,2079672,LIBRE,6
487,2666,2079672,FP,0
487,2666,2079672,MAS-IPSP,12
487,2666,2079672,UNIDAD,1
487,2666,2079672,PDC,89
487,2666,2079682,AP,2
487,2666,2079682,LYP-ADN,0
487,2666,2079682,APB-SUMATE,5
487,2666,2079682,LIBRE,6
487,2666,2079682,FP,3
487,2666,2079682,MAS-IPSP,16
487,2666,2079682,UNIDAD,2
487,2666,2079682,PDC,47
4412,26152,2079892,AP,5
4412,26152,2079892,LYP-ADN,0
4412,26152,2079892,APB-SUMATE,19
4412,26152,2079892,LIBRE,1
4412,26152,2079892,FP,4
4412,26152,2079892,MAS-IPSP,6
4412,26152,2079892,UNIDAD,4
4412,26152,2079892,PDC,57
4412,26152,2079902,AP,7
4412,26152,2079902,LYP-ADN,1
4412,26152,2079902,APB-SUMATE,12
4412,26152,2079902,LIBRE,3
4412,26152,2079902,FP,6
4412,26152,2079902,MAS-IPSP,6
4412,26152,2079902,UNIDAD,4
4412,26152,2079902,PDC,56
4539,32232,2079922,AP,4
4539,32232,2079922,LYP-ADN,0
4539,32232,2079922,APB-SUMATE,23
4539,32232,2079922,LIBRE,1
