CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
2181,2,4015692,32,BOLIVIA,4,Oruro,0,3,9,Sabaya                                  ,3,AIOC Uru Chipaya,Chipaya,U.E. Santa Ana,1
2181,2,4015702,32,BOLIVIA,4,Oruro,0,3,9,Sabaya                                  ,3,AIOC Uru Chipaya,Chipaya,U.E. Santa Ana,2
2181,2,4015712,32,BOLIVIA,4,Oruro,0,3,9,Sabaya                                  ,3,AIOC Uru Chipaya,Chipaya,U.E. Santa Ana,3
2182,2,4015722,32,BOLIVIA,4,Oruro,0,3,9,Sabaya                                  ,3,AIOC Uru Chipaya,Ayparavi,Esc. Puente Topater,1
2917,32088,4015732,32,BOLIVIA,4,Oruro,0,3,9,Sabaya                                  ,3,AIOC Uru Chipaya,Vestrullani,Casa Comunal de Vestrullani,1
3494,1,4016672,32,BOLIVIA,4,Oruro,0,3,14,Sebastián Pagador,1,Santiago de Huari,Uru Uru Llapa Llapani,Esc. Llapallapani,1
1958,32333,6012692,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Caiza J,U.E. Isaac Maldonado Reque de Caiza J,1
1964,15,6012882,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Crevaux,U.E. Crevaux Sud,1
1964,15,6012892,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Crevaux,U.E. Crevaux Sud,2
1964,15,6012902,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Crevaux,U.E. Crevaux Sud,3
1964,15,6012912,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Crevaux,U.E. Crevaux Sud,4
1964,15,6012922,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Crevaux,U.E. Crevaux Sud,5
1965,16,6012932,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,D'Orbigni,U.E. D'Orbigny,1
1965,16,6012942,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,D'Orbigni,U.E. D'Orbigny,2
1965,16,6012952,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,D'Orbigni,U.E. D'Orbigny,3
3163,2,6013042,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,La Purisima,U.E. La Purisima,1
3506,2,6013132,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Aguayrenda,Escuela 27 de Mayo,1
3506,2,6013142,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Aguayrenda,Escuela 27 de Mayo,2
4593,32334,6013152,32,BOLIVIA,6,Tarija,0,4,3,Gran Chaco                              ,1,Yacuiba,Pananty,U.E. Arakuarenda,1
