CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1157,51,9002912,76,19,17,28,0,28,64,19,64
1157,26075,9002922,177,66,74,29,0,29,169,66,169
1161,50,9002972,240,57,67,69,0,69,193,57,193
1161,50,9002982,51,10,15,19,0,19,44,10,44
3881,1,9002992,204,60,74,39,1,40,174,60,174
1142,35,9003002,115,42,46,12,0,12,100,42,100
1164,55,9003012,93,55,22,6,0,6,83,55,83
1166,54,9003022,240,128,74,19,2,21,223,128,223
1166,54,9003032,30,19,8,1,0,1,28,19,28
2754,56,9003082,240,122,76,23,1,24,222,122,222
2754,56,9003092,34,19,10,3,0,3,32,19,32
2800,57,9003102,229,141,46,13,0,13,200,141,200
3067,1,9003112,77,23,37,7,0,7,67,23,67
3253,1,9003132,240,123,68,23,0,23,214,123,214
3253,1,9003142,20,11,7,2,0,2,20,11,20
3428,25028,9003152,114,46,38,3,0,3,87,46,87
3882,1,9003162,103,65,21,7,0,7,93,65,93
3883,1,9003172,170,16,17,121,0,121,154,16,154
3884,1,9003182,190,32,63,76,0,76,171,32,171
3885,1,9003192,128,49,46,6,0,6,101,49,101
4251,25934,9003212,103,37,45,10,0,10,92,37,92
4275,25961,9003242,114,66,30,6,0,6,102,66,102
3530,1,9003452,240,89,67,51,2,53,209,89,209
4105,25514,9003512,150,44,46,40,0,40,130,44,130
3531,1,9003672,42,8,7,18,0,18,33,8,33
4268,25954,9003772,57,30,10,0,0,0,40,30,40
