CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
2794,124,1001001,240,194,16,5,0,5,215,194,215
2794,124,1001011,101,74,7,4,0,4,85,74,85
2794,222,1001021,240,184,15,12,0,12,211,184,211
2794,222,1001031,240,180,18,13,0,13,211,180,211
2794,222,1001041,240,170,31,15,0,15,216,170,216
2794,222,1001051,240,180,22,12,0,12,214,180,214
2794,222,1001061,240,178,26,10,1,11,215,178,215
2794,222,1001071,240,203,20,3,0,3,226,203,226
2794,222,1001081,240,186,21,9,0,9,216,186,216
2794,222,1001091,240,191,14,11,0,11,216,191,216
2794,222,1001101,241,182,25,7,0,7,214,182,214
2794,515,1001111,240,170,25,10,0,10,205,170,205
2794,515,1001121,240,184,16,13,0,13,213,184,213
2794,515,1001131,240,192,12,12,0,12,216,192,216
2794,515,1001141,240,188,17,8,0,8,213,188,213
2794,515,1001151,240,185,21,10,0,10,216,185,216
2794,515,1001161,240,187,14,6,0,6,207,187,207
2794,515,1001171,240,183,19,5,0,5,207,183,207
2794,515,1001181,115,89,9,4,0,4,102,89,102
2794,25526,1001191,240,183,20,6,2,8,211,183,211
2794,25526,1001201,240,166,27,10,0,10,203,166,203
2794,25526,1001211,240,186,19,5,0,5,210,186,210
2794,25526,1001221,240,186,17,4,0,4,207,186,207
2794,25526,1001231,240,163,26,6,0,6,195,163,195
2794,25526,1001241,240,179,27,7,0,7,213,179,213
2794,25526,1001251,240,177,24,5,0,5,206,177,206
2794,25526,1001261,240,184,17,12,0,12,213,184,213
2794,25526,1001271,240,176,28,8,0,8,212,176,212
2794,25526,1001281,240,163,25,8,0,8,196,163,196
2794,25526,1001291,240,180,18,9,0,9,207,180,207
2794,25526,1001301,192,135,14,9,0,9,158,135,158
2794,403,1001311,240,144,43,31,0,31,218,144,218
2794,403,1001321,240,165,41,14,0,14,220,165,220
2794,403,1001331,240,148,29,30,0,30,207,148,207
2794,403,1001341,240,151,34,27,0,27,212,151,212
2794,403,1001351,240,153,38,27,0,27,218,153,218
2794,403,1001361,240,158,28,27,0,27,213,158,213
2794,403,1001371,240,156,29,26,0,26,211,156,211
2794,403,1001381,240,149,32,24,0,24,205,149,205
2794,403,1001391,240,150,30,28,0,28,208,150,208
2794,403,1001401,240,135,29,46,0,46,210,135,210
2794,403,1001411,240,150,40,19,0,19,209,150,209
2794,403,1001421,240,147,40,16,0,16,203,147,203
2794,403,1001431,240,139,31,27,0,27,197,139,197
2794,403,1001441,240,140,44,27,0,27,211,140,211
2794,403,1001451,240,140,41,25,0,25,206,140,206
2794,403,1001461,240,149,39,16,0,16,204,149,204
2794,403,1001471,240,158,39,15,0,15,212,158,212
2794,403,1001481,240,125,36,47,0,47,208,125,208
2794,403,1001491,240,169,25,19,0,19,213,169,213
2794,403,1001501,240,158,35,16,0,16,209,158,209
2794,403,1001511,240,152,38,21,0,21,211,152,211
2794,403,1001521,240,152,37,19,0,19,208,152,208
2794,403,1001531,240,168,27,21,0,21,216,168,216
2794,403,1001541,240,128,48,21,0,21,197,128,197
2794,403,1001551,240,164,34,16,0,16,214,164,214
2794,403,1001561,172,114,24,14,0,14,152,114,152
2794,504,1001571,240,167,34,12,0,12,213,167,213
2794,504,1001581,240,183,23,11,0,11,217,183,217
2794,504,1001591,240,179,22,17,0,17,218,179,218
2794,504,1001601,240,172,25,20,0,20,217,172,217
2794,504,1001611,240,188,24,14,0,14,226,188,226
2794,504,1001621,240,181,23,14,0,14,218,181,218
2794,504,1001631,240,173,24,22,0,22,219,173,219
2794,504,1001641,169,120,29,8,0,8,157,120,157
2794,231,1001651,240,193,17,10,0,10,220,193,220
2794,231,1001661,240,176,26,16,0,16,218,176,218
2794,231,1001671,240,186,22,11,0,11,219,186,219
2794,231,1001681,240,182,29,8,0,8,219,182,219
2794,231,1001691,240,180,25,10,0,10,215,180,215
2794,231,1001701,240,188,18,4,0,4,210,188,210
2794,231,1001711,82,60,9,4,0,4,73,60,73
2794,516,1001721,240,175,26,9,0,9,210,175,210
2794,516,1001731,240,182,21,10,0,10,213,182,213
2794,516,1001741,240,169,26,7,0,7,202,169,202
2794,516,1001751,240,180,20,13,0,13,213,180,213
2794,516,1001761,240,164,26,19,0,19,209,164,209
2794,516,1001771,240,183,18,10,0,10,211,183,211
2794,516,1001781,240,177,26,12,0,12,215,177,215
2794,516,1001791,240,179,18,13,1,14,211,179,211
2794,516,1001801,240,179,26,8,0,8,213,179,213
2794,516,1001811,240,173,25,12,0,12,210,173,210
2794,516,1001821,240,186,24,6,0,6,216,186,216
2794,516,1001831,240,183,19,11,0,11,213,183,213
2794,516,1001841,240,188,14,8,0,8,210,188,210
2794,516,1001851,240,173,18,19,0,19,210,173,210
2794,516,1001861,240,164,33,11,0,11,208,164,208
2794,516,1001871,240,195,11,10,0,10,216,195,216
2794,516,1001881,240,190,9,10,0,10,209,190,209
2794,516,1001891,240,181,25,7,0,7,213,181,213
2794,516,1001901,240,164,24,19,0,19,207,164,207
2794,516,1001911,33,27,5,1,0,1,33,27,33
2794,26376,1001921,240,174,28,22,0,22,224,174,224
2794,26376,1001931,240,175,34,14,0,14,223,175,223
2794,26376,1001941,240,158,41,15,0,15,214,158,214
2794,26376,1001951,58,49,5,1,0,1,55,49,55
2794,227,1001961,240,114,41,41,0,41,196,114,196
2794,227,1001971,240,116,61,37,0,37,214,116,214
2794,227,1001981,240,123,44,34,0,34,201,123,201
2794,227,1001991,240,105,46,41,0,41,192,105,192
2794,227,1002001,240,132,40,34,0,34,206,132,206
2794,227,1002011,240,125,37,47,0,47,209,125,209
2794,227,1002021,240,133,34,37,1,38,205,133,205
2794,227,1002031,240,120,51,37,2,39,210,120,210
2794,227,1002041,240,137,40,34,0,34,211,137,211
2794,227,1002051,240,137,31,40,0,40,208,137,208
2794,227,1002061,240,98,51,52,0,52,201,98,201
2794,227,1002071,240,133,38,34,0,34,205,133,205
2794,227,1002081,240,119,43,50,0,50,212,119,212
2794,227,1002091,240,124,49,41,0,41,214,124,214
2794,227,1002101,240,134,40,30,0,30,204,134,204
2794,227,1002111,240,126,49,40,0,40,215,126,215
2794,227,1002121,240,143,41,32,0,32,216,143,216
2794,227,1002131,240,125,55,33,0,33,213,125,213
2794,227,1002141,240,117,55,35,0,35,207,117,207
2794,227,1002151,240,141,37,29,0,29,207,141,207
2794,227,1002161,240,127,42,31,0,31,200,127,200
2794,227,1002171,240,128,40,32,0,32,200,128,200
2794,227,1002181,240,139,37,29,0,29,205,139,205
2794,227,1002191,190,107,30,22,0,22,159,107,159
2794,536,1002201,240,179,25,11,0,11,215,179,215
2794,536,1002211,236,180,22,13,0,13,215,180,215
2794,25577,1002221,240,184,22,15,0,15,221,184,221
2794,25577,1002231,46,34,6,4,0,4,44,34,44
2794,512,1002241,240,182,19,6,0,6,207,182,207
2794,512,1002251,240,177,18,11,0,11,206,177,206
2794,512,1002261,240,188,18,9,1,10,216,188,216
2794,512,1002271,240,177,29,12,0,12,218,177,218
2794,512,1002281,240,199,11,8,0,8,218,199,218
2794,512,1002291,240,179,28,4,0,4,211,179,211
2794,512,1002301,240,179,19,12,0,12,210,179,210
2794,512,1002311,240,184,9,13,1,14,207,184,207
2794,512,1002321,240,178,19,7,1,8,205,178,205
2794,512,1002331,240,179,14,10,1,11,204,179,204
2794,512,1002341,240,187,22,6,0,6,215,187,215
2794,512,1002351,240,173,22,13,0,13,208,173,208
2794,512,1002361,240,186,10,13,0,13,209,186,209
2794,512,1002371,240,174,20,15,0,15,209,174,209
2794,512,1002381,240,180,25,8,1,9,214,180,214
2794,512,1002391,240,199,21,6,0,6,226,199,226
2794,512,1002401,240,187,16,9,0,9,212,187,212
2794,512,1002411,29,18,5,1,0,1,24,18,24
2794,407,1002421,240,179,26,11,0,11,216,179,216
2794,407,1002431,240,191,22,6,0,6,219,191,219
2794,407,1002441,240,209,2,7,0,7,218,209,218
2794,407,1002451,240,177,24,11,0,11,212,177,212
2794,407,1002461,240,168,21,19,0,19,208,168,208
2794,407,1002471,240,182,23,10,0,10,215,182,215
2794,407,1002481,240,174,18,16,0,16,208,174,208
2794,407,1002491,240,164,35,15,0,15,214,164,214
2794,407,1002501,240,169,31,12,0,12,212,169,212
2794,407,1002511,240,166,34,15,0,15,215,166,215
2794,407,1002521,240,172,28,12,0,12,212,172,212
2794,407,1002531,240,175,32,9,0,9,216,175,216
2794,407,1002541,240,184,17,11,0,11,212,184,212
2794,407,1002551,240,161,33,21,0,21,215,161,215
2794,407,1002561,240,180,24,11,0,11,215,180,215
2794,407,1002571,240,179,28,8,0,8,215,179,215
2794,407,1002581,240,196,12,9,0,9,217,196,217
2794,407,1002591,213,157,17,18,0,18,192,157,192
2794,217,1002601,240,130,42,47,0,47,219,130,219
2794,217,1002611,240,142,46,30,0,30,218,142,218
2794,217,1002621,240,138,46,18,0,18,202,138,202
2794,217,1002631,240,134,38,37,0,37,209,134,209
2794,217,1002641,240,127,33,51,0,51,211,127,211
2794,217,1002651,240,109,50,48,0,48,207,109,207
2794,217,1002661,240,131,43,32,0,32,206,131,206
2794,217,1002671,240,135,41,27,0,27,203,135,203
2794,217,1002681,240,123,42,47,0,47,212,123,212
2794,217,1002691,240,114,47,35,0,35,196,114,196
2794,217,1002701,240,139,47,30,0,30,216,139,216
2794,217,1002711,240,142,37,24,0,24,203,142,203
2794,217,1002721,240,122,45,35,0,35,202,122,202
2794,217,1002731,240,136,39,31,0,31,206,136,206
2794,217,1002741,240,134,48,34,0,34,216,134,216
2794,217,1002751,240,133,55,29,0,29,217,133,217
2794,217,1002761,240,132,48,37,0,37,217,132,217
2794,217,1002771,240,134,36,37,0,37,207,134,207
2794,217,1002781,240,148,37,27,0,27,212,148,212
2794,217,1002791,240,131,44,32,0,32,207,131,207
2794,217,1002801,240,125,44,30,0,30,199,125,199
2794,217,1002811,240,133,38,35,0,35,206,133,206
2794,217,1002821,123,67,23,25,0,25,115,67,115
