CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
3611,25165,101004,320,87,0,54,0,54,141,87,141
3611,25165,101014,230,46,2,38,1,39,87,46,87
3611,25166,101024,320,66,0,34,1,35,101,66,101
3611,25166,101034,320,80,2,38,1,39,121,80,121
3611,25166,101044,320,62,1,49,0,49,112,62,112
3611,25166,101054,320,70,1,48,2,50,121,70,121
3611,25166,101064,320,82,1,48,1,49,132,82,132
3611,25166,101074,320,67,5,32,0,32,104,67,104
3611,25166,101084,320,53,4,37,0,37,94,53,94
3611,25166,101094,119,16,2,18,0,18,36,16,36
3611,25167,101104,320,66,2,50,1,51,119,66,119
3611,25167,101114,320,70,2,32,0,32,104,70,104
3611,25167,101124,320,73,2,44,2,46,121,73,121
3611,25167,101134,320,57,2,25,2,27,86,57,86
3611,25167,101144,106,24,0,15,0,15,39,24,39
3611,25168,101154,320,88,7,32,2,34,129,88,129
3611,25168,101164,320,70,4,41,1,42,116,70,116
3611,25168,101174,320,61,5,42,2,44,110,61,110
3611,25168,101184,320,67,6,44,0,44,117,67,117
3611,25168,101194,320,64,2,43,1,44,110,64,110
3611,25168,101204,320,75,4,46,1,47,126,75,126
3611,25168,101214,320,70,3,43,4,47,120,70,120
3611,25168,101224,171,44,2,10,2,12,58,44,58
3611,25169,101234,320,70,2,35,3,38,110,70,110
3611,25169,101244,320,75,3,27,3,30,108,75,108
3611,25169,101254,320,71,2,45,0,45,118,71,118
3611,25169,101264,320,69,1,52,4,56,126,69,126
3611,25169,101274,320,77,2,50,4,54,133,77,133
3611,25169,101284,320,65,2,44,2,46,113,65,113
3611,25169,101294,320,82,4,39,2,41,127,82,127
3611,25169,101304,320,76,0,25,2,27,103,76,103
3611,25169,101314,327,82,5,44,2,46,133,82,133
3611,25172,101324,320,76,2,50,2,52,130,76,130
3611,25172,101334,320,70,6,44,1,45,121,70,121
3611,25172,101344,320,71,5,34,3,37,113,71,113
3611,25172,101354,320,68,5,38,0,38,111,68,111
3611,25172,101364,320,78,8,42,2,44,130,78,130
3611,25172,101374,320,54,1,38,0,38,93,54,93
3611,25172,101384,320,70,1,42,1,43,114,70,114
3611,25172,101394,320,65,2,43,2,45,112,65,112
3611,25172,101404,139,35,2,13,0,13,50,35,50
3611,25173,101414,320,75,2,46,1,47,124,75,124
3611,25173,101424,320,95,4,34,1,35,134,95,134
3611,25173,101434,320,87,2,34,1,35,124,87,124
3611,25173,101444,320,82,2,33,0,33,117,82,117
3611,25173,101454,320,85,1,44,1,45,131,85,131
3611,25173,101464,320,89,2,47,1,48,139,89,139
3611,25173,101474,320,72,1,53,0,53,126,72,126
3611,25173,101484,320,92,1,38,1,39,132,92,132
3611,25173,101494,119,26,1,13,1,14,41,26,41
3611,25174,101504,320,78,4,45,0,45,127,78,127
3611,25174,101514,320,85,3,58,1,59,147,85,147
3611,25174,101524,320,83,3,58,1,59,145,83,145
3611,25174,101534,320,78,3,39,2,41,122,78,122
3611,25174,101544,320,76,6,36,1,37,119,76,119
3611,25174,101554,320,83,0,51,0,51,134,83,134
3611,25174,101564,320,78,3,55,2,57,138,78,138
3611,25174,101574,320,77,3,46,1,47,127,77,127
3611,25174,101584,320,90,1,42,2,44,135,90,135
3611,25174,101594,83,17,0,10,0,10,27,17,27
3611,25175,101604,320,72,2,38,0,38,112,72,112
3611,25175,101614,320,66,2,37,0,37,105,66,105
3611,25175,101624,320,63,4,48,1,49,116,63,116
3611,25175,101634,320,51,0,48,0,48,99,51,99
3611,25175,101644,248,57,2,29,0,29,88,57,88
3611,25189,101654,320,77,4,35,1,36,117,77,117
3611,25189,101664,320,70,2,39,2,41,113,70,113
3611,25189,101674,320,77,4,49,4,53,134,77,134
3611,25189,101684,320,72,3,49,5,54,129,72,129
3611,25189,101694,146,35,3,25,1,26,64,35,64
3611,25190,101704,320,81,1,38,0,38,120,81,120
3611,25190,101714,320,76,1,44,0,44,121,76,121
3611,25190,101724,320,83,3,23,2,25,111,83,111
3611,25190,101734,320,77,1,35,0,35,113,77,113
3611,25190,101744,320,87,3,38,1,39,129,87,129
3611,25190,101754,297,71,5,35,1,36,112,71,112
3611,25191,101764,320,80,6,46,4,50,136,80,136
3611,25191,101774,320,85,3,49,5,54,142,85,142
3611,25191,101784,320,92,4,41,0,41,137,92,137
3611,25191,101794,320,94,2,37,1,38,134,94,134
3611,25191,101804,320,82,3,44,1,45,130,82,130
3611,25191,101814,101,25,1,14,1,15,41,25,41
3611,25191,101824,320,84,5,47,3,50,139,84,139
3611,25191,101834,320,90,3,44,2,46,139,90,139
3611,25191,101844,320,85,4,60,6,66,155,85,155
3611,25191,101854,320,77,3,39,0,39,119,77,119
3611,25191,101864,320,82,1,47,0,47,130,82,130
4129,25192,101874,320,62,2,32,4,36,100,62,100
4129,25192,101884,320,62,4,35,2,37,103,62,103
4129,25192,101894,300,63,3,36,0,36,102,63,102
4129,25192,101904,320,64,4,40,1,41,109,64,109
4129,25192,101914,320,45,5,42,2,44,94,45,94
4129,25192,101924,320,60,2,33,4,37,99,60,99
4129,25192,101934,320,47,0,45,1,46,93,47,93
4129,25192,101944,320,61,3,61,2,63,127,61,127
4130,25060,101954,320,90,1,69,1,70,161,90,161
4130,25060,101964,320,75,0,58,3,61,136,75,136
4130,25060,101974,320,76,5,66,0,66,147,76,147
4130,25060,101984,320,78,2,82,0,82,162,78,162
4130,25060,101994,320,76,2,65,1,66,144,76,144
4130,25060,102004,320,76,2,57,0,57,135,76,135
4130,25060,102014,320,68,2,70,0,70,140,68,140
4130,25060,102024,320,55,0,80,0,80,135,55,135
4130,25060,102034,116,26,0,26,0,26,52,26,52
